pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Ba3(AlSn)2,0,-3.559219896,-0.517965291
Ba5Al5Sn,0,-3.289201275,-0.346212034
Be4AlFe,0,-4.76572655,-0.235997252
BeAlIr2,0,-7.061037285,-0.756445436
MnBe4Al,0,-4.815926252,-0.169627222
Be4AlNi,0,-4.375763623,-0.292493795
BeAlRh2,0,-6.42009325,-0.868912541
Ca(Al4Co)2,0,-4.620988397,-0.42026317
Ca4Al51Cr7,0,-4.467812949,-0.167444518
Ca(Al5Cr)2,0,-4.699783887,-0.179968279
Ca(Al10Cr)2,0,-4.31364412,-0.129355654
Ca3Al7Cu2,0,-3.694157657,-0.323757911
Ca(Al2Cu)4,0,-3.98217259,-0.260237367
Ca(AlGa)2,0,-3.449060394,-0.33429307
CaLaAl4,0,-4.06821916,-0.410975533
LiCa2Al,0,-2.559750133,-0.144149484
Ca4MgAl3,0,-2.821752295,-0.214090042
CaAl9Ni,0,-4.011263698,-0.236975875
Ca43Al16Pb13,0,-3.119496827,-0.419476556
CaAlPd,0,-4.381765783,-0.737137548
Ca2AlPd2,0,-4.401048272,-0.777115027
Ca2AlPt2,0,-4.985984,-1.012366451
CaAlPt,0,-4.907777293,-0.971745472
Ca6Al43W4,0,-4.453496149,-0.207724045
Ca(AlZn)2,0,-2.699811214,-0.290806536
Ca4AlZn43,0,-1.548425965,-0.163169503
Al12Co4Cu,0,-4.974024784,-0.414230208
Al2FeCo,0,-6.237330635,-0.470822743
AlFeCo2,0,-6.96194822,-0.354967538
AlGaCo2,0,-5.691201435,-0.43987011
HfAlCo2,0,-7.55497558,-0.574386266
Hf6Al16Co7,0,-6.390339155,-0.546711443
Al2CoIr,0,-6.64839434,-0.780887443
LaAl4Co,0,-5.024703043,-0.516320923
MnAlCo2,0,-7.13475709,-0.35292181
NbAlCo2,0,-7.42954304,-0.409235283
Al2CoRu,0,-6.620179005,-0.649540684
ScAlCo2,0,-6.584188308,-0.508365503
Sc2(Al3Co)3,0,-5.403637548,-0.56554395
SrAl9Co2,0,-4.542174828,-0.4056013
TaAlCo2,0,-7.919153523,-0.46324426
TiAlCo2,0,-7.079370103,-0.613065299
Ti13Al9Co8,0,-6.959273245,-0.516755281
AlVCo2,0,-7.17824074,-0.414561375
YAl2Co,0,-5.808337865,-0.539941653
Y2(Al3Co)3,0,-5.419814253,-0.562837114
Zr6Al16Co7,0,-6.126302848,-0.573725503
ZrAlCo2,0,-7.138022458,-0.509119003
Zr6Al2Co,0,-7.666254354,-0.344995192
La(Al10Cr)2,0,-4.477731669,-0.1654118
Mg3(Al9Cr)2,0,-4.081692048,-0.101158577
Mn2AlCr,0,-8.083758223,-0.157931832
MnAl24Cr,0,-4.265185401,-0.082476576
MnAl2Cr3,0,-7.76228289,-0.16802169
Al4CrNi15,0,-5.919014065,-0.351752699
AlCrRu2,0,-8.337633653,-0.3532556
Y6Al43Cr4,0,-4.771151487,-0.270782485
Al7FeCu2,0,-4.541177895,-0.251664128
Al37(Fe6Cu)2,0,-5.196356458,-0.325839347
HfAlCu2,0,-5.808125948,-0.332887669
Hf2Al3Cu,0,-6.321247142,-0.445891708
Al2CuIr,0,-5.778914434,-0.664083054
LaAl3Cu,0,-4.534059314,-0.47576182
La2Al3Cu7,0,-4.48592674,-0.332999511
LaAlCu4,0,-4.462442392,-0.280249405
LaAl2Cu3,0,-4.50324423,-0.379582758
LiAlCu2,0,-3.68601641,-0.222351318
Mg2Al5Cu6,0,-3.818806188,-0.238426231
MgAl2Cu,0,-3.480770938,-0.18081254
Mg3(AlCu2)2,0,-3.405378222,-0.215780408
AlCuPt2,0,-5.694647625,-0.704384313
Al7Cu2Rh,0,-4.552759112,-0.373527971
Al7Cu2Ru,0,-4.708453387,-0.337287448
ScAlCu2,0,-4.98069464,-0.41022287
TiAlCu2,0,-5.266679058,-0.305725289
Y(Al2Cu)4,0,-4.370489859,-0.305153038
Y(AlCu)6,0,-4.47911211,-0.359746198
Y3Al7Cu2,0,-4.981029689,-0.494574752
YAlCu,0,-5.233343559,-0.461750359
YAl7Cu5,0,-4.435539655,-0.343188289
ZrAlCu2,0,-5.479496805,-0.355944385
Zr6Al7Cu16,0,-5.286011659,-0.351165785
ZrAlCu,0,-5.86770607,-0.4027336
Hf(AlFe)6,0,-6.781078552,-0.380934729
HfAlFe,0,-7.808932899,-0.421533084
Al2FeIr,0,-6.873455263,-0.668489233
La(Al2Fe)4,0,-5.674735309,-0.384578803
La(Al5Fe)2,0,-4.912811159,-0.347535836
La6Al5Fe9,0,-6.442764191,-0.214448806
MnAlFe2,0,-7.639449788,-0.182696243
NbAlFe2,0,-8.062151798,-0.366925775
Al2FeNi,0,-5.953594145,-0.519316325
Al5FeNi,0,-5.092671621,-0.381040075
AlFeRh2,0,-7.328089295,-0.597603478
Sc(Al2Fe)4,0,-5.818963896,-0.422090952
Sc(AlFe)6,0,-6.514129785,-0.392375658
TaAlFe2,0,-8.57722649,-0.446398963
TiAlFe2,0,-7.593672953,-0.452449884
AlVFe2,0,-7.862438535,-0.423840905
AlFe2W,0,-8.60872872,-0.20188096
Y(Al2Fe)4,0,-5.834689685,-0.427648679
Y(Al5Fe)2,0,-5.039365601,-0.357205778
Zr(AlFe)6,0,-6.686718886,-0.394786097
Zr3AlFe8,0,-8.381881895,-0.292772227
Zr2AlFe3,0,-8.089528422,-0.385755137
La(AlGa)2,0,-4.185650064,-0.481938284
Li2AlGa,0,-2.901126355,-0.250805875
AlGaNi6,0,-5.541525748,-0.357553133
Sr(AlGa)2,0,-3.419255864,-0.36792821
Hf6Al16Ir7,0,-7.078854349,-0.811887746
HfAlMo,0,-8.515171728,-0.326934516
HfAlNi,0,-7.143856957,-0.649376082
HfAlNi2,0,-6.951822158,-0.635692989
HfAlPd2,0,-6.844061518,-0.827160304
Hf2Al3Pd,0,-6.686596723,-0.630686978
Hf6Al16Pd7,0,-6.08594939,-0.707550416
HfAlPt,0,-7.638522317,-1.052123158
Hf6Al2Pt,0,-8.61509432,-0.473024583
Hf6Al16Pt7,0,-6.462187556,-0.872772192
Hf6Al16Rh7,0,-6.699576885,-0.796326005
HfAlRh2,0,-8.125137553,-1.021043104
Hf2Al3Zn,0,-5.833499775,-0.429221916
HfAlZn,0,-5.362804287,-0.371072487
HfAl2Zn,0,-5.059246445,-0.3784218
Sr11Al4In3,0,-2.584443276,-0.262576439
La2(Al3Ir)3,0,-5.839569028,-0.823841841
LiAl2Ir,0,-5.293613445,-0.72661197
MgAlIr2,0,-6.45364607,-0.68362309
MnAlIr2,0,-8.234164083,-0.575412527
Nb2Al3Ir,0,-7.340507031,-0.618104569
Al2IrOs,0,-7.60204904,-0.707095044
Al2IrRh,0,-6.949731533,-1.020472068
Al2IrRu,0,-7.284445695,-0.875349236
Sc6Al16Ir7,0,-6.379813476,-0.861619157
ScAlIr2,0,-7.951332645,-0.998593565
Ti6Al16Ir7,0,-6.595446991,-0.754095155
Y2(Al3Ir)3,0,-6.099209427,-0.866411028
AlZnIr2,0,-6.273748513,-0.586602566
Zr6Al16Ir7,0,-6.827280381,-0.851364144
La2MgAl3,0,-4.202318183,-0.411582213
La2AlNi9,0,-5.846299477,-0.373504398
La5Al3Ni2,0,-5.145470851,-0.390882257
LaAl5Ni2,0,-5.016209018,-0.60989031
LaAlNi4,0,-5.764735892,-0.461355052
LaAl3Ni2,0,-5.248180677,-0.622456793
LaAl3Pd2,0,-5.270471445,-0.844232865
La(AlPd)2,0,-5.433073527,-0.871207867
LaAlPt,0,-5.975336189,-1.057730276
LaAl2Pt3,0,-6.210173023,-1.107743237
LaAlRh,0,-6.182425634,-0.831427817
La2(Al3Rh)3,0,-5.483605423,-0.790768725
La(Al5Ru)2,0,-5.2051369,-0.514242851
La(TiAl10)2,0,-4.417510162,-0.256457816
La(Al10V)2,0,-4.482257428,-0.217770451
La(AlZn)2,0,-3.444154668,-0.446205534
LaAlZn,0,-3.757155518,-0.434216963
LiAl2Ni,0,-4.262422775,-0.46610951
LiAlPd2,0,-4.816850588,-0.81152256
Li2AlPd,0,-3.716838808,-0.530172153
LiAl2Pd,0,-4.277213568,-0.63051428
Li2AlPt,0,-4.10861658,-0.703397235
LiAlPt2,0,-5.38437065,-0.941937243
