pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
BaHg,0,-1.64324422,-0.529102165
BaHg6,0,-0.820980304,-0.285732253
BaIn2,0,-2.950295787,-0.474192342
BaIn,0,-2.751953108,-0.413727109
BaIn4,0,-2.93013657,-0.343731169
Ba9In4,0,-2.458654382,-0.279517745
Ba6Mg23,0,-1.743013576,-0.072418195
BaMg2,0,-1.793102931,-0.082015071
Ba2Mg17,0,-1.690435753,-0.052389351
BaMg149,0,-1.621137758,-0.01466774
BaNa2,0,-1.536912269,-0.020320026
Ba3Pb5,0,-3.545357395,-0.501722122
BaPb3,0,-3.631707963,-0.364264368
BaPb,0,-3.402109548,-0.582282598
Ba2Pb,0,-3.059980232,-0.538564378
BaPd,0,-4.093352785,-0.539746885
BaPd5,0,-4.973586378,-0.333972318
BaPd2,0,-4.672915557,-0.576305577
BaPt5,0,-5.851806035,-0.483683008
BaPt,0,-4.754221243,-0.763509963
BaPt2,0,-5.406601978,-0.727184825
BaRh2,0,-5.611584342,-0.065383382
BaSn,0,-3.665378685,-0.698383133
BaSn3,0,-3.950651515,-0.462455016
Ba3Sn5,0,-3.850404392,-0.622808366
BaSn2,0,-3.894967693,-0.580504843
Ba2Sn,0,-3.224715927,-0.605187672
BaTl2,0,-2.604744662,-0.385074938
BaTl4,0,-2.531666149,-0.252981213
BaZn,0,-1.76275238,-0.164042138
BaZn5,0,-1.595749231,-0.2142946
Ba2Zn,0,-1.843210303,-0.135872255
BaZn13,0,-1.480922591,-0.161540992
CaBe13,0,-3.712808753,-0.094444536
BeCo,0,-5.73639035,-0.310087963
Be3Co,0,-4.838022321,-0.25356591
Be5Co,0,-4.49205575,-0.188214664
Be12Cr,0,-4.253152603,-0.057150366
Be2Cr,0,-5.931419983,-0.224111739
Be2Cu,0,-3.99797257,-0.13646819
Be3Cu,0,-3.936736327,-0.104955433
Be2Fe,0,-5.590759113,-0.275741866
HfBe5,0,-5.010600052,-0.23271379
Hf2Be17,0,-4.621182157,-0.224713305
HfBe13,0,-4.359369975,-0.1730699
Be3Ir,0,-5.482823418,-0.459908869
LaBe13,0,-3.962353236,-0.133651714
Mg149Be,0,-1.632950996,-0.014360866
MnBe2,0,-5.797621111,-0.249464401
MnBe12,0,-4.218174213,-0.058899253
Be2Mo,0,-6.429362268,-0.313507624
Be12Mo,0,-4.411745005,-0.12146283
Be17Nb2,0,-4.607387766,-0.194195359
Be12Nb,0,-4.380334522,-0.147683415
Be2Nb3,0,-7.68632964,-0.121401964
Be3Nb,0,-5.560770158,-0.22552754
BeNi,0,-5.221614255,-0.459772013
Be3Ni,0,-4.532322223,-0.280095884
